job_id,scene_id,domain,condition,profile,image_variant,x_efficiency,y_efficiency,efficiency_penalty_percent,repetition,model_id,temperature,candidate_count,timestamp_utc,x,y,estimated_cost_usd,status
v4_0001,heldout_01,fire_station,target_clear,neutral,clean,1.0,1.00,0,1,gemini-3-flash-preview,1.0,1,2026-08-15T12:22:59.464664+00:00,50.0,50.0,0.0006675,ok
v4_0002,heldout_01,fire_station,target_clear,neutral,clean,1.0,1.00,0,2,gemini-3-flash-preview,1.0,1,2026-08-15T12:24:20.482018+00:00,50.0,50.0,0.0006675,ok
v4_0003,heldout_01,fire_station,target_clear,neutral,clean,1.0,1.00,0,3,gemini-3-flash-preview,1.0,1,2026-08-15T12:24:24.024650+00:00,50.0,50.0,0.0006675,ok
v4_0004,heldout_01,fire_station,target_clear,neutral,clean,0.9,1.00,10,1,gemini-3-flash-preview,1.0,1,2026-08-15T12:24:27.270166+00:00,0.0,100.0,0.0006675,ok
v4_0005,heldout_01,fire_station,target_clear,neutral,clean,0.9,1.00,10,2,gemini-3-flash-preview,1.0,1,2026-08-15T12:24:30.535928+00:00,0.0,100.0,0.0006675,ok
v4_0006,heldout_01,fire_station,target_clear,neutral,clean,0.9,1.00,10,3,gemini-3-flash-preview,1.0,1,2026-08-15T12:24:33.796214+00:00,0.0,100.0,0.0006675,ok
v4_0007,heldout_01,fire_station,target_clear,neutral,clean,0.8,1.00,20,1,gemini-3-flash-preview,1.0,1,2026-08-15T12:24:36.969229+00:00,0.0,100.0,0.0006675,ok
v4_0008,heldout_01,fire_station,target_clear,neutral,clean,0.8,1.00,20,2,gemini-3-flash-preview,1.0,1,2026-08-15T12:24:40.151037+00:00,44.0,56.0,0.0006675,ok
v4_0009,heldout_01,fire_station,target_clear,neutral,clean,0.8,1.00,20,3,gemini-3-flash-preview,1.0,1,2026-08-15T12:24:43.400151+00:00,0.0,100.0,0.0006675,ok
v4_0010,heldout_01,fire_station,target_clear,neutral,clean,0.6,1.00,40,1,gemini-3-flash-preview,1.0,1,2026-08-15T12:24:46.714642+00:00,0.0,100.0,0.0006675,ok
v4_0011,heldout_01,fire_station,target_clear,neutral,clean,0.6,1.00,40,2,gemini-3-flash-preview,1.0,1,2026-08-15T12:24:49.950659+00:00,0.0,100.0,0.0006675,ok
v4_0012,heldout_01,fire_station,target_clear,neutral,clean,0.6,1.00,40,3,gemini-3-flash-preview,1.0,1,2026-08-15T12:24:53.383611+00:00,0.0,100.0,0.0006675,ok
v4_0013,heldout_01,fire_station,target_clear,neutral,clean,0.4,1.00,60,1,gemini-3-flash-preview,1.0,1,2026-08-15T12:24:56.974459+00:00,0.0,100.0,0.0006675,ok
v4_0014,heldout_01,fire_station,target_clear,neutral,clean,0.4,1.00,60,2,gemini-3-flash-preview,1.0,1,2026-08-15T12:25:00.304959+00:00,0.0,100.0,0.0006675,ok
v4_0015,heldout_01,fire_station,target_clear,neutral,clean,0.4,1.00,60,3,gemini-3-flash-preview,1.0,1,2026-08-15T12:25:03.480269+00:00,0.0,100.0,0.0006675,ok
v4_0016,heldout_01,fire_station,target_clear,neutral,clean,0.2,1.00,80,1,gemini-3-flash-preview,1.0,1,2026-08-15T12:25:06.671603+00:00,0.0,100.0,0.0006675,ok
v4_0017,heldout_01,fire_station,target_clear,neutral,clean,0.2,1.00,80,2,gemini-3-flash-preview,1.0,1,2026-08-15T12:25:09.898014+00:00,0.0,100.0,0.0006675,ok
v4_0018,heldout_01,fire_station,target_clear,neutral,clean,0.2,1.00,80,3,gemini-3-flash-preview,1.0,1,2026-08-15T12:25:13.058897+00:00,0.0,100.0,0.0006675,ok
v4_0019,heldout_01,fire_station,target_clear,neutral,modified,1.0,1.00,0,1,gemini-3-flash-preview,1.0,1,2026-08-15T12:25:16.210229+00:00,50.0,50.0,0.0006675,ok
v4_0020,heldout_01,fire_station,target_clear,neutral,modified,1.0,1.00,0,2,gemini-3-flash-preview,1.0,1,2026-08-15T12:25:20.201422+00:00,50.0,50.0,0.0006675,ok
v4_0021,heldout_01,fire_station,target_clear,neutral,modified,1.0,1.00,0,3,gemini-3-flash-preview,1.0,1,2026-08-15T12:25:23.515916+00:00,50.0,50.0,0.0006675,ok
v4_0022,heldout_01,fire_station,target_clear,neutral,modified,0.9,1.00,10,1,gemini-3-flash-preview,1.0,1,2026-08-15T12:25:28.049327+00:00,0.0,100.0,0.0006675,ok
v4_0023,heldout_01,fire_station,target_clear,neutral,modified,0.9,1.00,10,2,gemini-3-flash-preview,1.0,1,2026-08-15T12:25:33.231020+00:00,0.0,100.0,0.0006675,ok
v4_0024,heldout_01,fire_station,target_clear,neutral,modified,0.9,1.00,10,3,gemini-3-flash-preview,1.0,1,2026-08-15T12:25:36.501938+00:00,0.0,100.0,0.0006675,ok
v4_0025,heldout_01,fire_station,target_clear,neutral,modified,0.8,1.00,20,1,gemini-3-flash-preview,1.0,1,2026-08-15T12:25:39.931453+00:00,0.0,100.0,0.0006675,ok
v4_0026,heldout_01,fire_station,target_clear,neutral,modified,0.8,1.00,20,2,gemini-3-flash-preview,1.0,1,2026-08-15T12:25:43.100790+00:00,0.0,100.0,0.0006675,ok
v4_0027,heldout_01,fire_station,target_clear,neutral,modified,0.8,1.00,20,3,gemini-3-flash-preview,1.0,1,2026-08-15T12:25:46.296806+00:00,0.0,100.0,0.0006675,ok
v4_0028,heldout_01,fire_station,target_clear,neutral,modified,0.6,1.00,40,1,gemini-3-flash-preview,1.0,1,2026-08-15T12:25:49.504202+00:00,0.0,100.0,0.0006675,ok
v4_0029,heldout_01,fire_station,target_clear,neutral,modified,0.6,1.00,40,2,gemini-3-flash-preview,1.0,1,2026-08-15T12:25:52.779118+00:00,0.0,100.0,0.0006675,ok
v4_0030,heldout_01,fire_station,target_clear,neutral,modified,0.6,1.00,40,3,gemini-3-flash-preview,1.0,1,2026-08-15T12:25:55.983893+00:00,0.0,100.0,0.0006675,ok
v4_0031,heldout_01,fire_station,target_clear,neutral,modified,0.4,1.00,60,1,gemini-3-flash-preview,1.0,1,2026-08-15T12:25:59.178624+00:00,0.0,100.0,0.0006675,ok
v4_0032,heldout_01,fire_station,target_clear,neutral,modified,0.4,1.00,60,2,gemini-3-flash-preview,1.0,1,2026-08-15T12:26:02.352987+00:00,0.0,100.0,0.0006675,ok
v4_0033,heldout_01,fire_station,target_clear,neutral,modified,0.4,1.00,60,3,gemini-3-flash-preview,1.0,1,2026-08-15T12:26:07.472606+00:00,0.0,100.0,0.0006675,ok
v4_0034,heldout_01,fire_station,target_clear,neutral,modified,0.2,1.00,80,1,gemini-3-flash-preview,1.0,1,2026-08-15T12:26:10.646708+00:00,0.0,100.0,0.0006675,ok
v4_0035,heldout_01,fire_station,target_clear,neutral,modified,0.2,1.00,80,2,gemini-3-flash-preview,1.0,1,2026-08-15T12:26:13.745674+00:00,0.0,100.0,0.0006675,ok
v4_0036,heldout_01,fire_station,target_clear,neutral,modified,0.2,1.00,80,3,gemini-3-flash-preview,1.0,1,2026-08-15T12:26:17.541673+00:00,0.0,100.0,0.0006675,ok
v4_0037,heldout_01,fire_station,target_clear,cue_bound,clean,1.0,1.00,0,1,gemini-3-flash-preview,1.0,1,2026-08-15T12:26:20.835050+00:00,50.0,50.0,0.0007005,ok
